chr_genepromoter	start_genepromoter	end_genepromoter	gene
1	150737934	150738933	CTSS
1	150780418	150781417	CTSK
1	150946980	150947979	CERS2
1	150953998	150954997	ANXA9
1	153958354	153959353	RAB13
1	154914627	154915626	PMVK
1	154974605	154975604	ZBTB7B
1	155005758	155006757	DCST2
1	155005781	155006780	DCST1
1	155023247	155024246	ADAM15
1	205718873	205719872	NUCKS1
1	205744111	205745110	RAB29
2	10091291	10092290	GRHL1
2	10861274	10862273	ATP6V1C2
2	63815368	63816367	WDPCP
2	63815242	63816241	MDH1
2	64067597	64068596	UGP2
2	238394552	238395551	MLPH
2	242295163	242296162	FARP2
2	63346178	63347177	DBIL5P2
2	85765600	85766599	MAT2A
2	85788158	85789157	GGCX
2	85811030	85812029	VAMP5
2	111877990	111878989	BCL2L11
2	173291581	173292580	ITGA6
2	173419600	173420599	PDK1
2	173600435	173601434	RAPGEF4-AS1
2	238419073	238420072	MIR6811
3	127871799	127872798	EEFSEC
3	169899038	169900037	PHC3
3	87137929	87138928	LINC00506
3	87275912	87276911	CHMP2B
3	127872258	127873257	RUVBL1
3	127794152	127795151	RUVBL1-AS1
3	87274928	87275927	MIR4795
3	113122344	113123343	CFAP44-AS1
3	113150548	113151547	MIR8076
3	113250717	113251716	SIDT1
3	127770711	127771710	SEC61A1
3	169755234	169756233	GPR160
4	74485849	74486848	RASSF6
4	106394728	106395727	PPA2
5	1294663	1295662	TERT
5	133859565	133860564	JADE2
6	41513663	41514662	FOXP4
6	160147529	160148528	WTAP
6	160768904	160769903	SLC22A3
6	30103384	30104383	TRIM40
6	30180772	30181771	TRIM26
6	30312405	30313404	RPP21
6	30899453	30900452	SFTA2
6	31020726	31021725	HCG22
6	31079833	31080832	C6orf15
6	31082107	31083106	PSORS1C1
6	31106628	31107627	PSORS1C2
6	31125516	31126515	CCHCR1
6	31137971	31138970	POU5F1
6	31239414	31240413	HLA-C
6	31324523	31325522	HLA-B
6	31601063	31602062	MIR6832
6	31619978	31620977	BAG6
6	31619686	31620685	APOM
6	31633561	31634560	GPANK1
6	31633156	31634155	CSNK2B
6	31697543	31698542	DDAH2
6	31782336	31783335	HSPA1L
6	31782790	31783789	HSPA1A
6	32191345	32192344	NOTCH4
6	32407118	32408117	HLA-DRA
6	32604682	32605681	HLA-DQA1
6	32633967	32634966	HLA-DQB1
6	32627156	32628155	HLA-DQB1-AS1
6	34759293	34760292	UHRF1BP1
6	41515860	41516859	FOXP4-AS1
6	160182488	160183487	ACAT2
6	160210236	160211235	TCP1
6	160200914	160201913	SNORA20
6	160206266	160207265	SNORA29
6	160210343	160211342	MRPL18
6	160220780	160221779	PNLDC1
7	27702121	27703120	HIBADH
7	27655092	27656091	TSL
7	27778491	27779490	TAX1BP1
7	27204650	27205649	HOXA9
7	97841065	97842064	BHLHA15
7	97881064	97882063	TECPR1
7	98029928	98030927	BAIAP2L1
8	128493885	128494884	CASC8
8	23539951	23540950	NKX3-1
8	128024898	128025897	PCAT1
8	128093967	128094966	PCAT2
8	128427356	128428355	POU5F1B
9	19048853	19049852	SAXO1
9	19048871	19049870	RRAGA
9	19063285	19064284	SCARNA8
9	132585942	132586941	TOR1A
9	132597073	132598072	C9orf78
9	132597195	132598194	USP20
X	51545654	51546653	MAGED1
X	51485980	51486979	GSPT2
X	52896620	52897619	XAGE3
X	53024152	53025151	FAM156A
10	104263218	104264217	SUFU
10	114709508	114710507	TCF7L2
10	51549052	51550051	MSMB
10	104262013	104263012	ACTR1A
11	69455372	69456371	CCND1
11	1507510	1508509	MOB2
11	2154940	2155939	MIR483
11	2193792	2194791	MIR4686
11	2291683	2292682	ASCL2
11	68850143	68851142	MIR3164
11	102400985	102401984	MMP7
12	65003792	65004791	RASSF3
12	133066656	133067655	FBRSL1
14	23305241	23306240	MMP14
15	66678710	66679709	MAP2K1
15	66793930	66794929	SNORD18B
16	57653104	57654103	ADGRG1
16	89939493	89940492	TCF25
17	617597	618596	VPS53
17	685072	686071	GLOD4
17	685068	686067	MRM3
17	7788207	7789206	NAA38
17	7818766	7819765	LOC284023
17	46801338	46802337	MIR3185
17	46805612	46806611	HOXB13
17	47325104	47326103	FLJ40194
17	47439336	47440335	ZNF652
17	47491768	47492767	PHB
17	69197821	69198820	CASC17
19	38806107	38807106	YIF1B
19	38746732	38747731	PPP1R14A
19	38754597	38755596	SPINT2
19	42041359	42042358	LINC01480
19	51334280	51335279	KLK15
19	51357670	51358669	KLK3
19	51399155	51400154	KLKP1
20	62258087	62259086	LOC100505771
20	62257955	62258954	GMEB2
20	62284464	62285463	STMN3
20	62288662	62289661	RTEL1
20	62288662	62289661	RTEL1-TNFRSF6B
20	62327503	62328502	TNFRSF6B
20	62338866	62339865	ARFRP1
20	62338293	62339292	ZGPAT
20	62370710	62371709	SLC2A4RG
22	43506253	43507252	BIK
22	40427835	40428834	LOC100130899
22	43434090	43435089	LOC100506679
22	43538904	43539903	MCAT
